dat;M_max;Overflow penalty;Time variable serv time;GAP variable serv time;Overflow variable serv time;Dist variable serv time;Obj variable serv time;% Collected variable serv time;Avg Visit variable serv time;Time constant service time;GAP constant service time;Overflow constant service time;Dist constant service time;Obj constant service time;% Collected constant service time;Avg Visit constant service time;Does the route change?
abs3n40,dat;2;10;741,42;0,00%;56;5617,24;6177,24;78,06%;1,46;333,84;0,00%;70;5445,88;6145,88;79,00%;1,44;Yes
abs4n40,dat;1;50;829,03;0,00%;182;6435,98;15535,98;77,63%;1,67;402,16;0,00%;41;7013,86;9063,86;74,62%;1,85;Yes
abs4n40,dat;1;30;496,68;0,00%;182;6435,98;11895,98;77,63%;1,67;52,66;0,00%;57;6350,02;8060,02;81,68%;1,69;Yes
abs4n40,dat;1;10;524,15;0,00%;182;6435,98;8255,98;77,63%;1,67;20,42;0,00%;60;6316,55;6916,55;82,94%;1,67;Yes
abs5n40,dat;1;10;2446,07;0,00%;370;5688,42;9388,42;75,11%;1,54;301,06;0,00%;90;6266,59;7166,59;78,42%;1,77;Yes
abs5n40,dat;2;50;661,7;0,00%;8;7885,57;8285,57;66,57%;2;802,21;0,00%;7;7927,1;8277,1;66,08%;2,03;Yes
abs5n40,dat;2;30;638,2;0,00%;13;7658,83;8048,83;69,93%;1,9;472,67;0,00%;18;7480,8;8020,8;69,60%;1,92;Yes
abs1n45,dat;2;10;1647,9;0,00%;98;5899,14;6879,14;76,79%;1,48;499,11;0,00%;89;5915,87;6805,87;77,05%;1,48;Yes
abs3n45,dat;1;50;2182,59;0,00%;41;6610,75;8660,75;72,72%;1,8;486,19;0,00%;25;6734,68;7984,68;74,23%;1,8;Yes
abs3n45,dat;1;30;3236,84;0,00%;43;6549,19;7839,19;72,88%;1,8;327,3;0,00%;34;6419,83;7439,83;75,14%;1,77;Yes
abs3n45,dat;1;10;667,72;0,00%;81;5926,85;6736,85;78,14%;1,59;204,24;0,00%;87;5491,84;6361,84;79,81%;1,57;Yes
abs4n45,dat;1;10;2491,4;0,00%;377;6332,93;10102,93;76,83%;1,52;337,6;0,00%;86;6967,13;7827,13;80,84%;1,66;Yes
abs5n45,dat;2;30;1109,84;0,00%;23;6499,24;7189,24;66,98%;2,02;983,46;0,00%;31;6237,75;7167,75;67,71%;2,02;Yes
abs5n45,dat;2;10;1834,89;0,00%;90;5271,91;6171,91;85,89%;1,57;476,26;0,00%;124;4851,23;6091,23;80,05%;1,52;Yes
abs2n50,dat;1;50;2330,21;0,00%;576;6528,41;35328,41;78,55%;1,43;5232,98;0,00%;152;7396,42;14996,42;85,38%;1,61;Yes
abs2n50,dat;1;30;1979,42;0,00%;576;6528,41;23808,41;78,55%;1,43;757,17;0,00%;152;7396,42;11956,42;85,38%;1,61;Yes
abs2n50,dat;1;10;2338,14;0,00%;576;6528,41;12288,41;78,55%;1,43;943,71;0,00%;164;7249,09;8889,09;83,71%;1,65;Yes
